title,author,state,district,ban_type,origin,date,year,month
The Falling in Love Montage,"Smyth, Ciara",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
All Boys Aren't Blue,"Johnson, George M.",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
Dark and Deepest Red,"McLemore, Anna-Marie",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Bluest Eye,"Morrison, Toni",Missouri,Nixa Public Schools,Banned in Libraries,Formal Challenge,2022-02-01,2022,2022-02
Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Unbecoming,"Downham, Jenny",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Magic Fish,"Nguyen, Trung Le",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Georgia,Cherokee County School District,Banned in Libraries and Classrooms,Formal Challenge,2022-02-01,2022,2022-02
May the Best Man Win,"Ellor, Z. R.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Bridge,"Konigsberg, Bill",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Lucky List,"Lippincott, Rachael",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Elevation,"King, Stephen",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
SELF-ish: A Transgender Awakening,"Schwenke, Chloe",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
The Passing Playbook,"Fitzsimons, Isaac",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Inexplicable Logic of My Life,"Sáenz, Benjamin Alire",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Perfect on Paper,"Gonzales, Sophie",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Dear Martin,"Stone, Nic",New York,Marlboro Central School District,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
Little & Lion,"Colbert, Brandy",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Speak No Evil,"Iweala, Uzodinma",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
They Both Die at the End,"Silvera, Adam",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Porcupine of Truth,"Konigsberg, Bill",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
How to Be an Antiracist,"Kendi, Ibram X.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Heiress Apparently (Daughters of the Dynasty Series),"Ma, Diana",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Girl on the Line,"Gardner, Faith",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The House You Pass on the Way,"Woodson, Jacqueline",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Just Ash,"Santana, Sol",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Summer of Jordi Perez,"Spalding, Amy",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Music of What Happens,"Konigsberg, Bill",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Gravity of Us (The Gravity of Us Series),"Stamper, Phil",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
In Deeper Waters,"Lukens, F. T.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
My Heart Underwater,"Fantauzzo, Laurel Flores",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Ask the Passengers,"King, A. S.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Of Ice and Shadows (Of Fire and Stars Series),"Coulthurst, Audrey",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Hate U Give,"Thomas, Angie",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Summer Bird Blue,"Bowman, Akemi Dawn",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
10 Things I Can See from Here,"Mac, Carrie",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
When They Call You a Terrorist (Young Adult Edition): A Story of Black Lives Matter and the Power to Change the World,"Khan-Cullors, Patrisse",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
We Set the Dark on Fire (We Set the Dark on Fire Series),"Mejia, Tehlor Kay",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Her Royal Highness (Royals Series),"Hawkins, Rachel",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Gold Wings Rising (Skybound Series),"London, Alex",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
You Brought Me the Ocean,"Sanchez, Alex",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
What If It's Us (What If It's Us Series),"Albertalli, Becky",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
When We Were Magic,"Gailey, Sarah",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
A Quick & Easy Guide to They/Them Pronouns,"Bongiovanni, Archie",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
Encyclopedia of Sex & Gender: 4 Volume Set,"Malti-Douglas, Fedwa",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Tyrant’s Tomb (The Trials of Apollo Series),"Riordan, Rick",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Glass Castle,"Walls, Jeannette",Missouri,Nixa Public Schools,Banned in Libraries,Formal Challenge,2022-02-01,2022,2022-02
"Blue Flag, Vol. 3 (Blue Flag Series)",Kaito,Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Perks of Being a Wallflower,"Chbosky, Stephen",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Scapegracers (Scapegracers Series),"Clarke, Hannah Abigail",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Fire Song,"Jones, Adam Garnet",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Last Night at the Telegraph Club,"Lo, Malinda",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Life and (Medieval) Times of Kit Sweetly,"Pacton, Jamie",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Ship It,"Lundin, Britta",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Ember Queen (Ash Princess Trilogy Series),"Sebastian, Laura",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Late to the Party,"Quindlen, Kelly",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
All We Can Do Is Wait,"Lawson, Richard",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Act Cool,"McSmith, Tobly",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Dragonwings,"Yep, Laurence",Tennessee,Blount County Schools,Banned in Classrooms,Formal Challenge,2022-02-01,2022,2022-02
How to Make a Wish,"Blake, Ashley Herring",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Carry On (Simon Snow Series),"Rowell, Rainbow",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Night Shine (Night Shine Series),"Gratton, Tessa",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Between Perfect and Real,"Stoeve, Ray",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
A Better Bad Idea,"Devore, Laurie",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
I'm a Wild Seed: My Graphic Memoir on Queerness and Decolonizing the World,"De La Cruz, Sharon Lee",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"Blue Flag, Vol. 4 (Blue Flag Series)",Kaito,Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Flamer,"Curato, Mike",Texas,Clear Creek Independent School District,Banned in Libraries,Administrator,2022-02-01,2022,2022-02
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The City Beautiful,"Polydoros, Aden",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"Trans+: Love, Sex, Romance, and Being You","Gonzales, Kathryn",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
The Hidden Oracle (The Trials of Apollo Series),"Riordan, Rick",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Heartstopper: Volume Three (Heartstopper Series),"Oseman, Alice",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Dangerous Art of Blending In,"Surmelis, Angelo",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Aesop Lake,"Ward, Sarah",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
If We Were Us,"Walther, K. L.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
That Inevitable Victorian Thing,"Johnston, E. K",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Darius the Great Deserves Better (Darius the Great Series),"Khorram, Adib",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Black Flamingo,"Atta, Dean",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"Date Me, Bryson Keller","van Whye, Kevin",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Influence,"Shepard, Sara",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Summer of Everything,"Winters, Julian",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Red Scrolls of Magic (The Eldest Curses Series),"Clare, Cassandra",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Pride Guide: A Guide to Sexual and Social Health for LGBTQ Youth,"Langford, Jo",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
Verona Comics,"Dugan, Jennifer",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The New Queer Conscience,"Eli, Adam",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
Teaching When the World Is on Fire,"Delpit, Lisa D.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
Geography Club (Russel Middlebrook Series),"Hartinger, Brent",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Crier's War (Crier's War Series),"Varela, Nina",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Here's to Us,"Albertalli, Becky",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Weight of the Stars,"Ancrum, K.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Witch King (The Witch King Series),"Edgmon, H. E.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
The Burning Maze (The Trials of Apollo Series),"Riordan, Rick",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Gideon the Ninth (The Locked Tomb Series),"Muir, Tamsyn",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Follow Your Arrow,"Verdi, Jessica",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"Stamped: Racism, Antiracism, and You","Reynolds, Jason",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Sister Outsider: Essays and Speeches,"Lorde, Audre",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Bingo Love #1,"Franklin, Tee",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
The Bride Was a Boy,Chii,Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Book of Essie,"Weir, Meghan MacLean",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Birthday,"Russo, Meredith",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
I am Jazz,"Jennings, Jazz",Georgia,Cherokee County School District,Banned in Libraries and Classrooms,Formal Challenge,2022-02-01,2022,2022-02
"Allies: Real Talk About Showing Up, Screwing Up, And Trying Again","Bourne, Shakirah",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
I Kissed Alice,"Birch, Anna",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Pride: Celebrating Diversity & Community,"Stevenson, Robin",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Sometime After Midnight,"Philips, L.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
A Complicated Love Story Set in Space,"Hutchinson, Shaun David",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Beloved,"Morrison, Toni",Texas,Katy Independent School District,Banned in Libraries,Administrator,2022-02-01,2022,2022-02
As I Descended,"Talley, Robin",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Marvelous,"Kann, Claire",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
No Ashes in the Fire: Coming of Age Black and Free in America,"Moore, Darnell L.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"Blue Flag, Vol. 6 (Blue Flag Series)",Kaito,Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"Kings, Queens, and In-Betweens","Boteju, Tanya",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Blanca & Roja,"McLemore, Anna-Marie",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Black Lives Matter Movement,"Parks, Peggy J.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Wayward Son (Simon Snow Series),"Rowell, Rainbow",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Cool for the Summer,"Adler, Dahlia",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Flawless (Pretty Little Liars Series),"Shepard, Sara",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
As Far As You'll Take Me,"Stamper, Phil",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Symptoms of Being Human,"Garvin, Jeff",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),"Sáenz, Benjamin Alire",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Your Rights as an LGBTQ+ Teen,"Penne, Barbra",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Witch Owl Parliament (Clockwork Curandera Series),"Bowles, David",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Black Wings Beating (Skybound Series),"London, Alex",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Get a Clue (Bookish Boyfriends Series),"Schmidt, Tiffany",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"Blue Flag, Vol. 2 (Blue Flag Series)",Kaito,Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Witch's Hand (The Montague Twins),"Page, Nathan",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Darkness Outside Us,"Schrefer, Eliot",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Heartstopper: Volume One (Heartstopper Series),"Oseman, Alice",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"#Hockey (Check, Please! Series)","Ukazu, Ngozi",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Trans Mission: My Quest to a Beard,"Bertie, Alex",Texas,Frisco Independent School District,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
All Our Hidden Gifts (All Our Hidden Gifts Series),"O'Donoghue, Caroline",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Love Curse of Melody McIntyre,"Talley, Robin",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Short Stuff: A Young Adult LGBTQ+ Anthology,"Constantine, Alysia",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Speak for Yourself,"Johnson, Lana Wood",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
And She Was,"Verdi, Jessica",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"Blue Flag, Vol. 7 (Blue Flag Series)",Kaito,Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Body Talk: 37 Voices Explore Our Radical Anatomy,"Jensen, Kelly",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Darius the Great Is Not Okay (Darius the Great Series),"Khorram, Adib",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Understanding Gender Identity,"Nardo, Don",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
Wings of Shadow (Crown of Feathers Series),"Pau Preto, Nicki",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Death Prefers Blondes,"Roehrig, Caleb",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Master of One,"Jones, Jaida",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Yesterday Is History,"Jackson, Kosoko",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Fell of Dark,"Roehrig, Caleb",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Girls I've Been,"Sharpe, Tess",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
We Are Okay,"LaCour, Nina",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Lost Book of the White (The Eldest Curses Series),"Clare, Cassandra",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Of Fire and Stars (Of Fire and Stars Series),"Coulthurst, Audrey",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Gender Identity: Beyond Pronouns and Bathrooms,"Cook, Maria",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Almost Perfect,"Katcher, Brian",North Carolina,Iredell-Statesville School District,Banned in Libraries,Administrator,2022-02-01,2022,2022-02
More Happy Than Not,"Silvera, Adam",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
"It Doesn't Have to Be Awkward: Dealing with Relationships, Consent, and Other Hard-to-Talk-About Stuff","Pinsky, Drew",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
A Quick & Easy Guide to Queer & Trans Identities,"G., Mady",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
"The Legend of Korra: Turf Wars, Part Two","DiMartino, Michael Dante",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Girls Made of Snow and Glass,"Bashardoust, Melissa",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Gender Queer: A Memoir,"Kobabe, Maia",Washington,Walla Walla Public Schools,Banned Pending Investigation,Formal Challenge,2022-02-01,2022,2022-02
Fat Angie (Fat Angie Series),"Charlton-Trujillo, E. E.",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Wayward Witch (Brooklyn Brujas Series),"Córdova, Zoraida",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Witchlight,"Zabarsky, Jessi",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Gender Queer: A Memoir,"Kobabe, Maia",Idaho,West Ada School District,Banned in Libraries and Classrooms,Formal Challenge,2022-02-01,2022,2022-02
Tricks (Tricks Series),"Hopkins, Ellen",Georgia,Cherokee County School District,Banned in Libraries and Classrooms,Formal Challenge,2022-02-01,2022,2022-02
The Sky Is Mine,"Beashel, Amy",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Every Heart a Doorway (Seanan McGuire Series),"McGuire, Seanan",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Not My Problem,"Smyth, Ciara",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Gentleman's Guide to Vice and Virtue (Montague Siblings Series),"Lee, Mackenzi",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Who I Was with Her,"Tyndall, Nita",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Art of Fielding,"Harbach, Chad",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Midnight Lie (Forgotten Gods Series),"Rutkoski, Marie",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Key to You and Me,"Brown, Jaye Robin",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Somebody Told Me,"Siegert, Mia",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Me Myself & Him,"Tebbetts, Chris",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Six of Crows (Six of Crows Series),"Bardugo, Leigh",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Out of Darkness,"Pérez, Ashley Hope",Texas,Katy Independent School District,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
Ghost Wood Song,"Waters, Erica",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Cheer Up: Love and Pompoms,"Frasier, Crystal",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Bruja Born (Brooklyn Brujas Series),"Córdova, Zoraida",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
And I Darken (The Conqueror's Saga Series),"White, Kiersten",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Fancy White Trash,"Geerling, Marjetta",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Ballad of Ami Miles,"Alley, Kristy Dallas",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
And Tango Makes Three,"Richardson, Justin",Florida,Lee County Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,"Testa, Rylan Jay",Tennessee,Collierville Schools,Banned in Libraries and Classrooms,Administrator,2022-02-01,2022,2022-02
Tonight We Rule the World,"Smedley, Zack",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Storm of Life (The Brilliant Death Series),"Capetta, Amy Rose",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Bonds of Brass,"Skrutskie, Emily",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
If I Was Your Girl,"Russo, Meredith",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Girls at the Edge of the World,"Robson, Laura Brooke",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Soul of Cinder (Heart of Thorns Series),"Barton, Bree",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
I Wish You All the Best (I Wish You All the Best Series),"Deaver, Mason",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
Victories Greater Than Death (Unstoppable Series),"Anders, Charlie Jane",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
The Lady's Guide to Petticoats and Piracy (Montague Siblings Series),"Lee, Mackenzi",Tennessee,Collierville Schools,Banned Pending Investigation,Administrator,2022-02-01,2022,2022-02
