title,author,state,district,ban_type,origin,date,year,month
The Black Friend: On Being a Better White Person,"Joseph, Frederick",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Thirteen Reasons Why,"Asher, Jay",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Caraval (Caraval Series),"Garber, Stephanie",Texas,Katy Independent School District,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
The Family Fletcher Takes Rock Island (Family Fletcher Series),"Levy, Dana Alison",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
A Court of Mist and Fury (A Court of Thorns and Roses Series),"Maas, Sarah J.",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Eleanor & Park,"Rowell, Rainbow",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
The Kite Runner,"Hosseini, Khaled",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
A Court of Mist and Fury (A Court of Thorns and Roses Series),"Maas, Sarah J.",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Oregon,Medford School District 549C,Banned in Libraries,Formal Challenge,2022-04-01,2022,2022-04
The Hate U Give,"Thomas, Angie",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
"Mommy, Mama, and Me","Newman, Lesléa",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Out of Darkness,"Pérez, Ashley Hope",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
How Beautiful We Were,"Mbue, Imbolo",South Dakota,Rapid City Area Schools,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
And Tango Makes Three,"Richardson, Justin",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Kite Runner,"Hosseini, Khaled",Florida,Santa Rosa County District Schools,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Hate U Give,"Thomas, Angie",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Call Me Max (Max and Friends Series),"Lukoff, Kyle",Florida,Palm Beach County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
"Sex Plus: Learning, Loving, and Enjoying Your Body","Green, Laci",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Flamer,"Curato, Mike",Michigan,Rochester Community Schools District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Two Boys Kissing,"Levithan, David",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Speak,"Anderson, Laurie Halse",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Fun Home: A Family Tragicomic,"Bechdel, Alison",South Dakota,Rapid City Area Schools,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
This Book Is Gay,"Dawson, Juno",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Tricks (Tricks Series),"Hopkins, Ellen",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
The Perks of Being a Wallflower,"Chbosky, Stephen",South Dakota,Rapid City Area Schools,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Dead Until Dark (Sookie Stackhouse Series),"Harris, Charlaine",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU","Silverberg, Cory",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Circle (The Circle Series),"Eggers, Dave",South Dakota,Rapid City Area Schools,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
