year,regime_label,count,share
1956,Electoral Autocracy,33,0.21153846153846154
1956,Electoral Democracy,12,0.07692307692307693
1956,Liberal Democracy,17,0.10897435897435898
1957,Closed Autocracy,88,0.5641025641025641
1957,Electoral Autocracy,39,0.25
1957,Electoral Democracy,12,0.07692307692307693
1957,Liberal Democracy,17,0.10897435897435898
1958,Closed Autocracy,87,0.5576923076923077
1958,Electoral Autocracy,42,0.2692307692307692
1958,Electoral Democracy,10,0.0641025641025641
1958,Liberal Democracy,17,0.10897435897435898
1959,Closed Autocracy,87,0.5576923076923077
1959,Electoral Autocracy,40,0.2564102564102564
1959,Electoral Democracy,12,0.07692307692307693
1959,Liberal Democracy,17,0.10897435897435898
1960,Closed Autocracy,80,0.5161290322580645
1960,Electoral Autocracy,45,0.2903225806451613
1960,Electoral Democracy,13,0.08387096774193549
1960,Liberal Democracy,17,0.10967741935483871
1961,Closed Autocracy,79,0.5064102564102564
1961,Electoral Autocracy,47,0.30128205128205127
1961,Electoral Democracy,13,0.08333333333333333
1961,Liberal Democracy,17,0.10897435897435898
1962,Closed Autocracy,75,0.4807692307692308
1962,Electoral Autocracy,50,0.32051282051282054
1962,Electoral Democracy,14,0.08974358974358974
1962,Liberal Democracy,17,0.10897435897435898
1963,Closed Autocracy,71,0.4551282051282051
1963,Electoral Autocracy,53,0.33974358974358976
1963,Electoral Democracy,15,0.09615384615384616
1963,Liberal Democracy,17,0.10897435897435898
1964,Closed Autocracy,75,0.4807692307692308
1964,Electoral Autocracy,48,0.3076923076923077
1964,Electoral Democracy,16,0.10256410256410256
1964,Liberal Democracy,17,0.10897435897435898
1965,Closed Autocracy,78,0.5
1965,Electoral Autocracy,45,0.28846153846153844
1965,Electoral Democracy,16,0.10256410256410256
1965,Liberal Democracy,17,0.10897435897435898
1966,Closed Autocracy,78,0.5
1966,Electoral Autocracy,45,0.28846153846153844
1966,Electoral Democracy,15,0.09615384615384616
1966,Liberal Democracy,18,0.11538461538461539
1967,Closed Autocracy,81,0.5192307692307693
1967,Electoral Autocracy,41,0.26282051282051283
1967,Electoral Democracy,16,0.10256410256410256
1967,Liberal Democracy,18,0.11538461538461539
1968,Closed Autocracy,79,0.5064102564102564
1968,Electoral Autocracy,42,0.2692307692307692
1968,Electoral Democracy,17,0.10897435897435898
1968,Liberal Democracy,18,0.11538461538461539
1969,Closed Autocracy,85,0.5448717948717948
1969,Electoral Autocracy,36,0.23076923076923078
1969,Electoral Democracy,16,0.10256410256410256
1969,Liberal Democracy,19,0.12179487179487179
1970,Closed Autocracy,85,0.5448717948717948
1970,Electoral Autocracy,35,0.22435897435897437
1970,Electoral Democracy,16,0.10256410256410256
1970,Liberal Democracy,20,0.1282051282051282
1971,Closed Autocracy,85,0.5379746835443038
1971,Electoral Autocracy,38,0.24050632911392406
1971,Electoral Democracy,15,0.0949367088607595
1971,Liberal Democracy,20,0.12658227848101267
1972,Closed Autocracy,87,0.5506329113924051
1972,Electoral Autocracy,37,0.23417721518987342
1972,Electoral Democracy,14,0.08860759493670886
1972,Liberal Democracy,20,0.12658227848101267
1973,Closed Autocracy,87,0.5506329113924051
1973,Electoral Autocracy,36,0.22784810126582278
1973,Electoral Democracy,15,0.0949367088607595
1973,Liberal Democracy,20,0.12658227848101267
1974,Closed Autocracy,86,0.5443037974683544
1974,Electoral Autocracy,36,0.22784810126582278
1974,Electoral Democracy,16,0.10126582278481013
1974,Liberal Democracy,20,0.12658227848101267
1975,Closed Autocracy,82,0.5189873417721519
1975,Electoral Autocracy,40,0.25316455696202533
1975,Electoral Democracy,16,0.10126582278481013
1975,Liberal Democracy,20,0.12658227848101267
1976,Closed Autocracy,82,0.5222929936305732
1976,Electoral Autocracy,38,0.24203821656050956
1976,Electoral Democracy,15,0.09554140127388536
1976,Liberal Democracy,22,0.14012738853503184
1977,Closed Autocracy,82,0.5222929936305732
1977,Electoral Autocracy,39,0.2484076433121019
1977,Electoral Democracy,13,0.08280254777070063
1977,Liberal Democracy,23,0.1464968152866242
1978,Closed Autocracy,82,0.5222929936305732
1978,Electoral Autocracy,37,0.2356687898089172
1978,Electoral Democracy,15,0.09554140127388536
1978,Liberal Democracy,23,0.1464968152866242
1979,Closed Autocracy,78,0.4968152866242038
1979,Electoral Autocracy,40,0.25477707006369427
1979,Electoral Democracy,16,0.10191082802547771
1979,Liberal Democracy,23,0.1464968152866242
1980,Closed Autocracy,75,0.47770700636942676
1980,Electoral Autocracy,42,0.267515923566879
1980,Electoral Democracy,17,0.10828025477707007
1980,Liberal Democracy,23,0.1464968152866242
1981,Closed Autocracy,78,0.4968152866242038
1981,Electoral Autocracy,39,0.2484076433121019
1981,Electoral Democracy,17,0.10828025477707007
1981,Liberal Democracy,23,0.1464968152866242
1982,Closed Autocracy,79,0.5031847133757962
1982,Electoral Autocracy,37,0.2356687898089172
1982,Electoral Democracy,18,0.11464968152866242
1982,Liberal Democracy,23,0.1464968152866242
1983,Closed Autocracy,79,0.5031847133757962
1983,Electoral Autocracy,38,0.24203821656050956
1983,Electoral Democracy,16,0.10191082802547771
1983,Liberal Democracy,24,0.15286624203821655
1984,Closed Autocracy,77,0.49044585987261147
1984,Electoral Autocracy,38,0.24203821656050956
1984,Electoral Democracy,18,0.11464968152866242
1984,Liberal Democracy,24,0.15286624203821655
1985,Closed Autocracy,73,0.46496815286624205
1985,Electoral Autocracy,41,0.2611464968152866
1985,Electoral Democracy,17,0.10828025477707007
1985,Liberal Democracy,26,0.16560509554140126
1986,Closed Autocracy,69,0.4394904458598726
1986,Electoral Autocracy,44,0.2802547770700637
1986,Electoral Democracy,18,0.11464968152866242
1986,Liberal Democracy,26,0.16560509554140126
1987,Closed Autocracy,69,0.4394904458598726
1987,Electoral Autocracy,44,0.2802547770700637
1987,Electoral Democracy,18,0.11464968152866242
1987,Liberal Democracy,26,0.16560509554140126
1988,Closed Autocracy,69,0.4394904458598726
1988,Electoral Autocracy,41,0.2611464968152866
1988,Electoral Democracy,21,0.1337579617834395
1988,Liberal Democracy,26,0.16560509554140126
